Brand,Name,Flight Rating
Gateway,Scout,6/5/-1/1.9
Gateway,Warrior,5/4/-0.1/3
Gateway,Chief,3/3.1/-0.1/1.2
Gateway,Chief OS,3/3/0/2.4
Gateway,Devil Hawk,3/2.9/0.1/2.1
Gateway,Magic,2.3/3.7/-1/0
Gateway,Shaman,3.1/3.2/-0.6/1.2
Gateway,Training Wizard,3/5/0/2
Gateway,Voodoo,2.6/3.7/0/0.8
Gateway,Warlock,2.4/3.7/-0.2/1.3
Gateway,Warspear,2.1/2.6/0/2.4
Gateway,Wizard,2.5/3.9/0/1.9
Infinite Discs,Aztec,10/5/-1.2/1.9
Infinite Discs,Emperor,12/5.1/-1.1/2.5
Infinite Discs,Maya,11.9/5.1/-2.9/1
Infinite Discs,Pharaoh,12.9/5.8/-1.2/2
Infinite Discs,Slab,11.9/3/0/4
Infinite Discs,Centurion,6.9/5.1/-1.1/1.4
Infinite Discs,Exodus,7.1/4.9/-0.5/2
Infinite Discs,Scepter,9/3.7/0/3.9
Infinite Discs,Sphinx,9/6/-2.8/1
Infinite Discs,Anubis,5/5/-0.2/0.3
Infinite Discs,Chariot,5/5/0/1.1
Infinite Discs,Inca,5/4.9/0/2.7
Infinite Discs,Ra,5/4.1/-0.1/2.5
Infinite Discs,Cohort,3.5/4/0/0.9
Infinite Discs,Myth,2/3/0/1.9
Infinite Discs,Ruin,3/3/0/2.9
Infinite Discs,Scarab,2/4/-0.1/1
Infinite Discs,Tomb,3.1/3.9/0/1.1
Latitude 64,Ballista,13.9/4.8/-0.9/2.9
Latitude 64,Ballista Pro,13.9/4.4/-0.3/2.9
Latitude 64,Blitz,11.9/3.3/0/3.8
Latitude 64,Bolt,13/6/-2.3/2.6
Latitude 64,Cutlass,12.9/4.9/0/3.3
Latitude 64,Flow,11/5.9/-0.7/2.1
Latitude 64,Gladiator,13/5/0/3.3
Latitude 64,Halo,12.9/5/-0.6/2.8
Latitude 64,Havoc,12.9/5.1/-1.3/2.6
Latitude 64,Knight,14/4.2/-1.6/3.6
Latitude 64,Missilen,14.9/3.2/-0.4/4
Latitude 64,Musket,10/5/-0.7/2.3
Latitude 64,Raketen,14.5/3.6/-2.1/2.7
Latitude 64,Recoil,12/4.1/0/3
Latitude 64,Riot,11/4/-0.9/2.1
Latitude 64,Sapphire,10/6/-1.8/1.6
Latitude 64,Scythe,12/3.2/0/4
Latitude 64,Stiletto,13/2.7/0.8/5.3
Latitude 64,Villain,12/4/-0.2/3.7
Latitude 64,Bryce,9/6/-1.8/1.9
Latitude 64,Culverin,9/5/-0.3/2.9
Latitude 64,Diamond,8/6/-3.1/1
Latitude 64,Explorer,7/5/-0.1/2
Latitude 64,Falchion,8.5/5.6/-1.1/2
Latitude 64,Fury,8.9/6.5/-2.1/1.3
Latitude 64,Jade,9/5/-2/1.4
Latitude 64,Maul,7/6.9/-2.2/1
Latitude 64,Pioneer,9/3/0/3.9
Latitude 64,Primitus,9/5/0/2
Latitude 64,River,7/6.9/-1.1/1.1
Latitude 64,River Pro,6.4/5/-0.2/2.1
Latitude 64,Saint,9/6.8/-1.4/1.9
Latitude 64,Saint Pro,8.4/6/-0.4/2.6
Latitude 64,Spark,7.1/4.1/-0.2/2.6
Latitude 64,Striker,8.2/5/-0.1/1.9
Latitude 64,Trident,5.8/3.2/-0.2/3.9
Latitude 64,Vision,8/6.1/-1.4/1.9
Latitude 64,XXX,7.2/2.8/0/4.4
Latitude 64,Zion,9/3.8/-0.6/3
Latitude 64,Anchor,5/4/0/2.8
Latitude 64,Claymore,5/5/-0.7/1
Latitude 64,Compass,4.9/4.9/0/1
Latitude 64,Core,5.4/5/-0.8/1
Latitude 64,Fuji,4.1/4.1/-0.1/1.9
Latitude 64,Fuse,5/6.2/-1.3/0.3
Latitude 64,Gobi,5.7/5.2/-0.5/1.1
Latitude 64,Mace,5/5/0/1.9
Latitude 64,Medius,5/5/-1/2
Latitude 64,Pain,4.1/4/-0.1/3.1
Latitude 64,Pearl,4.1/6/-4.1/0.2
Latitude 64,Trident,5.8/3.2/-0.2/3.9
Latitude 64,Beetle,1/6.9/-1.1/0
Latitude 64,Caltrop,2/2.1/0/2
Latitude 64,Dagger,2/4.7/0/1.3
Latitude 64,Gauntlet,2.1/4.2/0/1
Latitude 64,Keystone,2.1/5/-1/0.9
Latitude 64,Macana,2/5/0/1
Latitude 64,Mercy,2.1/4/0/1
Latitude 64,Pure,3/3.2/-0.5/0.6
Latitude 64,Ruby,3/4.8/-3/0.9
Latitude 64,Sarek,2.1/4.2/-0.1/1.4
Latitude 64,Sinus,2.1/1.9/0/2.4
Latitude 64,Spike,3.9/2.7/-1/0.9
MVP,Catalyst,13/5.5/-2/1.6
MVP,Dimension,14/4.9/0/3.1
MVP,Energy,13.1/4.1/0.2/3.8
MVP,Impulse,10/4.9/-2.9/1.1
MVP,Inertia,10.3/4.9/-1.9/2
MVP,Limit,14/4/0.3/4.3
MVP,Motion,9.9/4/0.1/4
MVP,Nitro,13/4.4/-0.3/2.6
MVP,Octane,13/4.9/-0.9/2.1
MVP,Orbital,11.5/5/-4.4/0.9
MVP,Phase,11.3/3.5/0.1/4.1
MVP,Photon,11.5/4.9/-1/2.7
MVP,Relativity,13.9/5.1/-2.5/1.6
MVP,Teleport,14/5.1/-1.2/2.2
MVP,Tesla,10.1/4.7/-0.6/2.3
MVP,Wave,11.4/5/-1.9/1.8
MVP,Amp,8.1/5/-1.3/1.2
MVP,Relay,6.1/5/-2.4/1.1
MVP,Resistor,6.6/3.8/0/3.3
MVP,Servo,6.6/4.9/-0.9/2
MVP,Shock,8/5/-0.1/2.5
MVP,Signal,6/5/-3/1
MVP,Switch,6.7/5/-1.5/1.1
MVP,Volt,8.1/4.9/-0.7/2.1
MVP,Axis,5/4.9/-0.9/1
MVP,Deflector,5/3.5/0.2/4.1
MVP,Matrix,5/4.1/-0.6/2
MVP,Reactor,5/4.9/-0.5/1.5
MVP,Tangent,4.5/4.1/-0.9/1
MVP,Tensor,4.4/4.3/-0.1/2.5
MVP,Vector,5/4/0/2.3
MVP,Vertex,4.2/4/-2.3/0.6
MVP,Anode,3/3.1/0/0.4
MVP,Atom,2.6/3.1/-0.3/0.8
MVP,Entropy,3.9/2.9/0/3
MVP,Ion,3/3.6/0/1.2
MVP,Ohm,2/5/0/1
MVP,Particle,3/3/-0.1/2.2
MVP,Spin,3/4/-1.6/0
Prodigy,D Model OS,13/5/0/3.9
Prodigy,D Model S,13/6/-0.1/2.1
Prodigy,D Model US,13/6/-2.8/1.2
Prodigy,D1,12.3/5.1/-0.2/2.9
Prodigy,D1 Max,12/5/-0.2/2.9
Prodigy,D2,12.2/5.9/-0.9/2.9
Prodigy,D2 Max,11.9/5.8/-1/2.9
Prodigy,D3,12.4/5.9/-1.9/2.1
Prodigy,D3 Max,12/5.8/-2.5/1.6
Prodigy,D4,12.2/5.9/-2.9/2.1
Prodigy,D5,12.3/5.9/-3.6/2.1
Prodigy,D6,12.2/6/-4/1
Prodigy,X1,12.9/3/0/4.9
Prodigy,X2,12.8/4.3/-0.1/3.8
Prodigy,X3,11.8/4.9/-1/2.1
Prodigy,X4,12.7/5.1/-2.3/2
Prodigy,X5,13/5/-3.8/1.2
Prodigy,F Model OS,10/5/2/4
Prodigy,F Model S,10/5/0.3/2.9
Prodigy,F Model US,10/5/-1.7/1.3
Prodigy,F1,7/4.1/-0.2/2.8
Prodigy,F2,7.1/4.9/-1/2.9
Prodigy,F3,7/5/-1/2
Prodigy,F5,7/5/-1.8/1.1
Prodigy,F7,7/5/-3/0.9
Prodigy,FX-2,9.1/4.1/-0.6/3.1
Prodigy,H1,9.9/3.1/0.1/3.8
Prodigy,H1 V2,10.8/4/0/3
Prodigy,H2,9/4.7/0/2.3
Prodigy,H2 V2,10.9/4.9/-0.2/2.4
Prodigy,H3,9/3.9/0.1/2.2
Prodigy,H3 V2,10.8/5/-0.9/2.1
Prodigy,H4,9/4.7/-1.9/1.6
Prodigy,H4 V2,11.1/5.1/-2/1.5
Prodigy,H5,9/5/-2.9/1
Prodigy,M Model OS,6/4.1/-0.9/2.8
Prodigy,M Model S,5.9/4.1/0/2.8
Prodigy,M Model US,4/5/-1/0.9
Prodigy,M1,5/4/0/2.8
Prodigy,M2,5/4/-0.1/2
Prodigy,M3,5/5/-0.9/2
Prodigy,M4,5/4.9/-1.1/1
Prodigy,M5,5/5/-3/0.9
Prodigy,MX-3,5/4.1/-0.1/1.8
Prodigy,A1,3.2/2.9/0.1/3.2
Prodigy,A2,4/3.6/0.1/3.2
Prodigy,A3,4/3.8/0/3.1
Prodigy,A4,3.9/3.9/-0.8/2
Prodigy,P Model S,3/4.9/0/1.9
Prodigy,P Model US,3/4.8/-1/1
Prodigy,PA-1,3/3/0/2
Prodigy,PA-2,3/3/0/1.2
Prodigy,PA-3,3/4/0/1.1
Prodigy,PA-4,3/3.1/-0.9/0.9
Westside,Boatman,10.8/5.1/-0.1/2.1
Westside,Catapult,13.8/4.6/-0.5/3
Westside,Destiny,13.7/6/-2.2/2.7
Westside,Fortress,10/4/0/3
Westside,Giant,12.8/4.5/0.1/3.4
Westside,King,13.6/5.1/-2.1/2.8
Westside,Northman,10/5/-1.1/1.8
Westside,Queen,13.7/5.1/-2.8/1.9
Westside,Sampo,9.9/4.6/-0.6/2.1
Westside,Sorcerer,12.9/5.4/-0.7/2.4
Westside,Sword,11.9/5.1/-0.8/2
Westside,War Horse,12.9/4/0/4
Westside,World,14/4/-0.3/3.3
Westside,Ahti,9/3/0.1/4
Westside,Hatchet,9/5.9/-2.2/1.3
Westside,Longbowman,8.7/4/0/2.9
Westside,Seer,7/5.1/-1.9/1.2
Westside,Stag,8/5.9/-1/2
Westside,Underworld,7.1/6/-2.8/1
Westside,Anvil,4.1/2.3/0/4
Westside,Bard,5/3.9/0/2.9
Westside,Gatekeeper,4.1/5/-0.1/2
Westside,Pine,5/4.4/-0.1/2
Westside,Sling,4.5/4.9/-0.4/0.8
Westside,Tursas,5/5.1/-2.4/1
Westside,Warship,5.7/5.5/-0.1/1
Westside,Crown,3/4/0/1
Westside,Harp,4/3/0/2.5
Westside,Maiden,3/3.8/-0.3/1
Westside,Shield,3/3/0/1
Westside,Swan,2.9/2.9/-1.1/0
Westside,Swan 1 Reborn,3/3.1/-2.2/0.1
