Name,Brand,Category,Stability,Speed,Glide,Turn,Fade,URL,ThumbnailURL
Drone,Discraft,Mid Range,Very Overstable,5,3.4,0.5,3.9,https://infinitediscs.com/Discraft-Drone,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_30bcb2dc-0fd6-4447-88e2-cbfde46a185bDrone-Pro-D.jpg

Glide,Discraft,Mid Range,Understable,5.9,5,-3,1.8,https://infinitediscs.com/Discraft-Glide,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_29de3d86-1967-42dc-9fff-5017d8f77415Discraft Glide Elite Z.jpg

Hawk,Discraft,Mid Range,Neutral,4,5,-1.8,1.9,https://infinitediscs.com/Discraft-Hawk,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_04975248-6cb5-4695-8d35-34ca337bdf6dDiscraft Hawk Pro D.jpg

Hornet,Discraft,Mid Range,Very Overstable,5,5,-0.1,3.8,https://infinitediscs.com/Discraft-Hornet,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_c2ab965b-db54-463c-995b-50c554344573Discraft Hornet Elite Z.jpg

Impact,Discraft,Mid Range,Neutral,5.1,5,-1.9,1.9,https://infinitediscs.com/Discraft-Impact,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_cadd9348-22a5-43d9-875f-1b0812035b59Discraft Impact ESP.jpg

Malta,Discraft,Mid Range,Overstable,5,4.1,0.5,2.9,https://infinitediscs.com/Discraft-Malta,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_BigMalta.JPG

Meteor,Discraft,Mid Range,Understable,4.2,4.9,-2.8,1,https://infinitediscs.com/Discraft-Meteor,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_9b4de78f-3695-426d-bbb8-8d137cbe1c26Meteor-Elite-Z.jpg

Nebula,Discraft,Mid Range,Overstable,5,4,-0.5,2,https://infinitediscs.com/Discraft-Nebula,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_6bfaac26-f4d9-4f58-8d1d-097336e841a2DSC06726.JPG

Sol,Discraft,Mid Range,Very Understable,4,4.8,-2.8,0.4,https://infinitediscs.com/Discraft-Sol,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_abc7c0-d02b.JPG

Stratus,Discraft,Mid Range,Understable,5,4.9,-3,1,https://infinitediscs.com/Discraft-Stratus,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_64043713-ac8c-4109-b8de-d9cd21bb0ee5100_4849.JPG

Wasp,Discraft,Mid Range,Overstable,5,4.2,0,2.5,https://infinitediscs.com/Discraft-Wasp,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_bf477807-77bf-4c89-aef6-1f76680ac85fDiscraft Wasp Elite Z.jpg

APX,Discraft,Putters,Neutral,2,3,-1,0.9,https://infinitediscs.com/Discraft-APX,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_b9a45e1a-54f6-4801-b7da-7a6ba7d37ac0Discraft APX Soft Elite X.jpg

Banger GT,Discraft,Putters,Overstable,2,3,-0.1,1,https://infinitediscs.com/Discraft-Banger-GT,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_a256c174-cab3-4c04-9dd7-72a988b4503bDiscraft Banger GT Pro D.jpg

Challenger,Discraft,Putters,Overstable,2,3,0,1.9,https://infinitediscs.com/Discraft-Challenger,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_47558bf8-7d92-4274-800b-1ee1ea693160Discraft Challenger Pro-D.jpg

Challenger OS,Discraft,Putters,Overstable,2.9,4.8,0,2.6,https://infinitediscs.com/Discraft-Challenger-OS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_challenger0Sp.JPG

Challenger SS,Discraft,Putters,Overstable,2,3.9,-0.7,1.7,https://infinitediscs.com/Discraft-Challenger-SS,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_challss.JPG

Fierce,Discraft,Putters,Understable,3,4,-2,0,https://infinitediscs.com/Discraft-Fierce,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_rezzies_33.JPG

Focus,Discraft,Putters,Overstable,2,3,-1,1.8,https://infinitediscs.com/Discraft-Focus,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_9cfb2fff-926c-45da-b68c-aeb64e626da0Discraft Focus Pro-D.jpg

Luna,Discraft,Putters,Overstable,3,3.1,-0.1,2.2,https://infinitediscs.com/Discraft-Luna,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_Luna-big.png

Magnet,Discraft,Putters,Overstable,2,3,-1,1.9,https://infinitediscs.com/Discraft-Magnet,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_da8d44a9-82a5-4f78-95db-1294d206294bDiscraft Magnet Pro D.jpg

Putt'r,Discraft,Putters,Understable,2,3.1,-2,0.9,https://infinitediscs.com/Discraft-Puttr,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_DSC00037.jpg

Rattler,Discraft,Putters,Neutral,2,3.1,-1,1,https://infinitediscs.com/Discraft-Rattler,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_15814a5a-9944-482a-ac4d-093ac358d254Discraft Rattler Pro-D.jpg

Ringer,Discraft,Putters,Overstable,3,3.8,0,1.9,https://infinitediscs.com/Discraft-Ringer,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_6884ccd8-9b7f-44e0-a802-ae24dfa06ecaDSC06685.JPG

Ringer GT,Discraft,Putters,Overstable,3,3,0,2.8,https://infinitediscs.com/Discraft-Ringer-GT,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_ringersolf.JPG

Roach,Discraft,Putters,Overstable,2.1,3.9,-0.3,1,https://infinitediscs.com/Discraft-Roach,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_d8db8602-137b-4bc7-acdb-e0debd3d0215DSC00751.JPG

Soft Magnet,Discraft,Putters,Overstable,2,3.1,-1,1.8,https://infinitediscs.com/Discraft-Soft-Magnet,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_a2fef300-f0d5-4038-ba9e-2b53a29746ebDiscraft Magnet Soft Pro D.jpg

Zone,Discraft,Putters,Overstable,3.8,3,0,3,https://infinitediscs.com/Discraft-Zone,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_18e21f9f-a9f4-484f-af5a-223e020b0fc5Zone-Pro-D.jpg

Captain,Dynamic Discs,Distance Drivers,Neutral,12.7,4.9,-2.1,2.1,https://infinitediscs.com/Dynamic-Discs-Captain,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_asdfasdf_15.JPG

Criminal,Dynamic Discs,Distance Drivers,Very Overstable,10,3.1,1,4.1,https://infinitediscs.com/Dynamic-Discs-Criminal,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_CRIMINAL.JPG

Defender,Dynamic Discs,Distance Drivers,Overstable,13,4.9,0,3.1,https://infinitediscs.com/Dynamic-Discs-Defender,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_d45a484b-dc67-4495-a08f-1f24ef6a6089DSC09312.jpg

Enforcer,Dynamic Discs,Distance Drivers,Very Overstable,12,4.1,0.3,3.9,https://infinitediscs.com/Dynamic-Discs-Enforcer,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_e45ce6b9-774f-4b57-82a5-78ca5c044320DSC06954.JPG

Freedom,Dynamic Discs,Distance Drivers,Neutral,13.8,5,-2.8,2.6,https://infinitediscs.com/Dynamic-Discs-Freedom,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_93df3085-a7e2-48ce-a9e6-aa28c003d1e5DSC01962.jpg

Raider,Dynamic Discs,Distance Drivers,Overstable,12.9,5,-0.6,3,https://infinitediscs.com/Dynamic-Discs-Raider,https://infinitediscs.com/Inf_Uploads/Disc_Images/DI-2_6f9bd6-a514.JPG

